Gene	Synonyms	GeneID	Aliases	Organism	Interaction	Interaction_Type	Drug
MAPK14	MAPK14;CSBP;CSBP1;CSBP2;CSPB1;EXIP;Mxi2;p38;p38ALPHA;PRKM14;PRKM15;RK;SAPK2A	1432	GeneID:1432;HGNC:HGNC:6876;HPRD:02619;MIM:600289;ensembl_gene_id:ENSG00000112062	Homo sapiens	HTRA2;DUSP10;ZFP36L1;MAPK14;MAP2K6;RPS6KA4;AKT1;MAPKAPK2;ATF2;SPAG9;DUSP16;DUSP16;CDC25B;CDC25C;MAPKAPK3;TAB1;DUSP4;DUSP1;MAP2K3;PLCB2;TGFBR1;CAMKK2;MYEF2;CSNK2B;CSNK2B;CSNK2B;CSNK2B;CSNK2B;CSNK2B;CSNK2B;NFKBIA;IKBKB;PAK6;RELA;MAPK11;Dusp9;HDGF;KAT2B;EP300;HDAC3;TP53;CBL;MAP2K4;SQSTM1;ATM;CDK13;ARHGAP9;Dlg4;Dlg4;TSC1;RB1;BTRC;ARRB1;ADRB2;SUPT20H;BICD1;CEP164;SRPK1;PDX1;PTPRR;YWHAE;YWHAE;CDT1;MYO19;MYO19;NFATC4;PTPN7;F2R;SQSTM1;RPS6KA5;MKNK1;MKNK2;NFATC4;CALM1;DUSP9;DUSP2;RALB;GTSF1;MYF6;GPR156;HOXC10;LCOR;FAM19A3;LIPG;PTPN5;TRIM25;ILKAP;NFIC;NEDD4;RECQL4;ULK1;ATG13;RPL22;EPHA2;HDAC1;MARCKSL1;PHC2;EPS15;JUN;FUBP1;ARNT;S100A9;SNAPIN;YY1AP1;MEF2D;ATF6;TRMT1L;PTPRC;ACTA1;ADSS;PPM1G;SPTBN1;AMMECR1L;NEB;STK39;GORASP2;HSPD1;CASP8;CREB1;ZNF142;OBSL1;NKTR;CDC25A;DUSP7;ROBO1;ARL13B;CCDC14;CNBP;PAK2;WDR1;PI4K2B;CENPC;UGT2B10;CASP3;RICTOR;OXCT1;MEF2C;SLC12A2;FGFR4;HIVEP1;CDKN1A;CUL7;TMEM63B;LRRC1;EEF1A1;TAB2;PLG;FOXK1;ETV1;HOXA5;HOXA10;EGFR;BAZ1B;LIMK1;HSPB1;CDK6;MUC12;ZNHIT1;SMARCD3;KMT2C;EIF4EBP1;COPS5;MYC;CDKN2A;MOB3B;CIZ1;GATA3;BMI1;MAPK8;TOLLIP;USP47;PAK1;DCUN1D5;CCND2;CD4;TFCP2;KRT8;SP1;HOXC9;RPL41;DDIT3;CDK4;DUSP6;STAB2;MAPKAPK5;PTPN11;FBXW8;LATS2;NRL;GMFB;MAX;SRSF5;ELMSAN1;PPP4R3A;EPB42;IQGAP1;MEF2A;RHBDF1;GFER;FLYWCH2;KIF22;MAZ;MAPK3;MYLK3;BCAR1;KARS;KAT2A;MAPT;HOXB6;HOXB9;NME1;TYMS;RNF138;SMAD7;MBP;STK11;CSNK1G2;AES;EEF2;MAP2K7;GDF15;DYRK1B;MAP3K10;CCDC97;ERF;CCDC8;CSNK2A1;SLX4IP;BCL2L1;TPX2;NCOA3;RRP1B;PPIL2;MAPK1;NF2;TCF20;RPS6KA3;USP11;TCEAL1;PAK3;SH2D1A;INTS6L;IRAK1;FLNA;DYRK1B;TCF20;TCF20;PTPRC;UGT2B10;MAPT;TCF20;MAPT;TCF20;Rps6kb1;NRL;BCAR1;DCAF1	Physical Interaction;Genetic Interaction	4-[3-Methylsulfanylanilino]-6,7-Dimethoxyquinazoline;N-(3-TERT-BUTYL-1H-PYRAZOL-5-YL)-N'-{4-CHLORO-3-[(PYRIDIN-3-YLOXY)METHYL]PHENYL}UREA;4-[5-(3-IODO-PHENYL)-2-(4-METHANESULFINYL-PHENYL)-1H-IMIDAZOL-4-YL]-PYRIDINE;Inhibitor of P38 Kinase;N,4-dimethyl-3-[(1-phenyl-1H-pyrazolo[3,4-d]pyrimidin-4-yl)amino]benzamide;1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperidin-4-Yl-3,4-Dihydroquinolin-2(1h)-One;N-[(3z)-5-Tert-Butyl-2-Phenyl-1,2-Dihydro-3h-Pyrazol-3-Ylidene]-N'-(4-Chlorophenyl)Urea;N-cyclopropyl-4-methyl-3-[1-(2-methylphenyl)phthalazin-6-yl]benzamide;4-{4-[(5-hydroxy-2-methylphenyl)amino]quinolin-7-yl}-1,3-thiazole-2-carbaldehyde;4-[3-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL]PYRIDINE;N-cyclopropyl-2',6-dimethyl-4'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-3-carboxamide;2-(ETHOXYMETHYL)-4-(4-FLUOROPHENYL)-3-[2-(2-HYDROXYPHENOXY)PYRIMIDIN-4-YL]ISOXAZOL-5(2H)-ONE;4-(2-HYDROXYBENZYLAMINO)-N-(3-(4-FLUOROPHENOXY)PHENYL)PIPERIDINE-1-SULFONAMIDE;6-[4-(2-fluorophenyl)-1,3-oxazol-5-yl]-N-(1-methylethyl)-1,3-benzothiazol-2-amine;N-cyclopropyl-4-methyl-3-{2-[(2-morpholin-4-ylethyl)amino]quinazolin-6-yl}benzamide;4-(4-FLUOROPHENYL)-1-CYCLOROPROPYLMETHYL-5-(4-PYRIDYL)-IMIDAZOLE;6((S)-3-Benzylpiperazin-1-Yl)-3-(Naphthalen-2-Yl)-4-(Pyridin-4-Yl)Pyrazine;SB220025;4-(Fluorophenyl)-1-Cyclopropylmethyl-5-(2-Amino-4-Pyrimidinyl)Imidazole;2-Chlorophenol;[5-AMINO-1-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL](3-{[(2R)-2,3-DIHYDROXYPROPYL]OXY}PHENYL)METHANONE;[5-AMINO-1-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL][3-(PIPERIDIN-4-YLOXY)PHENYL]METHANONE;N-cyclopropyl-3-{[1-(2,4-difluorophenyl)-7-methyl-6-oxo-6,7-dihydro-1H-pyrazolo[3,4-b]pyridin-4-yl]amino}-4-methylbenzamide;N-[2-methyl-5-(methylcarbamoyl)phenyl]-2-{[(1R)-1-methylpropyl]amino}-1,3-thiazole-5-carboxamide;1-[1-(3-aminophenyl)-3-tert-butyl-1H-pyrazol-5-yl]-3-naphthalen-1-ylurea;3-(4-Fluorophenyl)-1-Hydroxy-2-(Pyridin-4-Yl)-1h-Pyrrolo[3,2-B]Pyridine;Triazolopyridine;N-(cyclopropylmethyl)-2'-methyl-5'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-4-carboxamide;1-(5-Tert-Butyl-2-P-Tolyl-2h-Pyrazol-3-Yl)-3-[4-(2-Morpholin-4-Yl-Ethoxy)-Naphthalen-1-Yl]-Urea;4-[5-(4-FLUORO-PHENYL)-2-(4-METHANESULFINYL-PHENYL)-3H-IMIDAZOL-4-YL]-PYRIDINE;3-(1-NAPHTHYLMETHOXY)PYRIDIN-2-AMINE;3-FLUORO-5-MORPHOLIN-4-YL-N-[3-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-5-YL]BENZAMIDE;3-fluoro-N-1H-indol-5-yl-5-morpholin-4-ylbenzamide;1-(5-Tert-Butyl-2-Methyl-2h-Pyrazol-3-Yl)-3-(4-Chloro-Phenyl)-Urea;3-{3-bromo-4-[(2,4-difluorobenzyl)oxy]-6-methyl-2-oxopyridin-1(2H)-yl}-N,4-dimethylbenzamide;2-fluoro-4-[4-(4-fluorophenyl)-1H-pyrazol-3-yl]pyridine;N-(3-cyanophenyl)-2'-methyl-5'-(5-methyl-1,3,4-oxadiazol-2-yl)-4-biphenylcarboxamide;N-ethyl-4-{[5-(methoxycarbamoyl)-2-methylphenyl]amino}-5-methylpyrrolo[2,1-f][1,2,4]triazine-6-carboxamide;N~3~-cyclopropyl-N~4~'-(cyclopropylmethyl)-6-methylbiphenyl-3,4'-dicarboxamide;N-[4-CHLORO-3-(PYRIDIN-3-YLOXYMETHYL)-PHENYL]-3-FLUORO-;3-(2-CHLOROPHENYL)-1-(2-{[(1S)-2-HYDROXY-1,2-DIMETHYLPROPYL]AMINO}PYRIMIDIN-4-YL)-1-(4-METHOXYPHENYL)UREA;8-(2-CHLOROPHENYLAMINO)-2-(2,6-DIFLUOROPHENYLAMINO)-9-ETHYL-9H-PURINE-1,7-DIIUM;4-PHENOXY-N-(PYRIDIN-2-YLMETHYL)BENZAMIDE;2-{4-[5-(4-chlorophenyl)-4-pyrimidin-4-yl-1H-pyrazol-3-yl]piperidin-1-yl}-2-oxoethanol;2-(2,6-DIFLUOROPHENOXY)-N-(2-FLUOROPHENYL)-9-ISOPROPYL-9H-PURIN-8-AMINE;5-(2,6-dichlorophenyl)-2-[(2,4-difluorophenyl)sulfanyl]-6H-pyrimido[1,6-b]pyridazin-6-one;4-[5-[2-(1-Phenyl-Ethylamino)-Pyrimidin-4-Yl]-1-Methyl-4-(3-Trifluoromethylphenyl)-1h-Imidazol-2-Yl]-Piperidine;1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperazin-1-Yl-3,4-Dihydroquinazolin-2(1h)-One;3-FLUORO-5-MORPHOLIN-4-YL-N-[1-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-6-YL]BENZAMIDE;3-(Benzyloxy)Pyridin-2-Amine
MAPK8	MAPK8;JNK;JNK-46;JNK1;JNK1A2;JNK21B1/2;PRKM8;SAPK1;SAPK1c	5599	GeneID:5599;HGNC:HGNC:6881;HPRD:03100;MIM:601158;ensembl_gene_id:ENSG00000107643	Homo sapiens	DUSP10;BID;EZR;RHOA;ARHGDIA;FAS;MSN;SPIB;Dusp22;SH3BP5;DUSP22;MAP3K1;ATF2;SPAG9;MAP2K4;JUN;SNCG;SNCA;JUND;MAPK8IP1;MAPK8IP3;PRKDC;DUSP16;DUSP16;DUSP4;DUSP1;MAP2K7;MYC;MAP3K2;PDPK1;CEBPA;CDKN1A;TP53;HDAC1;PIAS2;Dusp9;CDT1;CBL;FZR1;RPTOR;MAP3K4;SP1;MAPK8;CTNNB1;CDKN1B;WDR62;STAT3;JKAMP;MAPKAP1;NFATC4;VRK2;CASP3;PKMYT1;SERPINB3;SERPINB4;CDKN2A;RB1;ATF7;APP;GEMIN5;HIVEP1;CAMP;GARS;GFPT1;GUCY1A1;HSD17B4;ID2;GANAB;NKAPD1;MAPK9;RPS6KB1;NFE2L2;EGFR;CDC42;CRK;CRK;GSTP1;GPS1;GPS2;HRAS;HRAS;NFATC4;VANGL2;DUSP8;DUSP8;DUSP8;LAMP3;MAPK14;BANP;APBB2;PXN;CSK;SSU72;MTOR;CDKN2C;RBM15;HIST2H2AA3;CCT3;FASLG;ELK4;COG2;WDCP;PPM1B;REL;CCT4;BCL2L11;GORASP2;CASP10;CASP8;BMPR2;STK11IP;IRS1;RAD18;RAF1;TKT;DCP1A;FLNB;RABL3;PSMD2;AIMP1;SCOC;FAM193B;PRR3;PNRC1;MAP3K7;TCP1;ETV1;HDAC9;CCT6A;TNFRSF10B;YWHAZ;HSF1;TJP2;TRAF2;SIRT1;ANXA7;PAX2;ATE1;RPLP2;NUP98;SPI1;SF1;FADD;CTSC;TAF1D;H2AFX;HSPA8;APLP2;TNFRSF1A;TFCP2;NR4A1;KRT8;NFE2;CCT2;STAB2;BCL7A;ZNF605;ZNF219;PRKD1;CCDC88C;HSP90AA1;AKT1;BMF;MAP2K1;SMAD3;CRTC3;CSNK2A2;NFATC3;BCAR1;WWOX;KCNAB3;BLMH;MAPT;PHLPP1;BCL2;MBP;MKNK2;MAP2K2;SH2D3A;JUNB;IRF3;BCL2L1;ITCH;SCAND1;NCOA3;NFATC2;CCT8;SUN2;EP300;ELK1;BCL7A;MAPT;PRR3;MAPT;PRR3;PRR3;PRR3;PRR3;PRR3;Wwox;Trp53;Rps6kb1;Rara;HSF1;BCAR1;ELP1	Physical Interaction;Genetic Interaction	2,6-Dihydroanthra/1,9-Cd/Pyrazol-6-One;2-fluoro-6-{[2-({2-methoxy-4-[(methylsulfonyl)methyl]phenyl}amino)-7H-pyrrolo[2,3-d]pyrimidin-4-yl]amino}benzamide;2-({2-[(3-HYDROXYPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)BENZAMIDE;5-CYANO-N-(2,5-DIMETHOXYBENZYL)-6-ETHOXYPYRIDINE-2-CARBOXAMIDE;6-CHLORO-9-HYDROXY-1,3-DIMETHYL-1,9-DIHYDRO-4H-PYRAZOLO[3,4-B]QUINOLIN-4-ONE;N-(4-AMINO-5-CYANO-6-ETHOXYPYRIDIN-2-YL)-2-(4-BROMO-2,5-DIMETHOXYPHENYL)ACETAMIDE
MAPK9	MAPK9;JNK-55;JNK2;JNK2A;JNK2ALPHA;JNK2B;JNK2BETA;p54a;p54aSAPK;PRKM9;SAPK;SAPK1a	5601	GeneID:5601;HGNC:HGNC:6886;HPRD:04206;MIM:602896;ensembl_gene_id:ENSG00000050748	Homo sapiens	SH3BP5;MAPK8IP2;DUSP19;DUSP16;DUSP16;DUSP1;DUSP10;MAPK8IP1;MAPK8IP3;PRKDC;TP53;TOB1;GRB2;HDAC1;MAP2K4;MAP3K1;CTNNB1;HMGCS1;JUN;WDR62;BCL10;NFATC4;CASP3;MAP2K7;MAPK9;CLU;ARRB1;LMAN2;CYHR1;NFE2L2;ARRB2;ATF2;CTBP1;MEOX1;EGFR;DTX3;MAPK8;CDT1;AHI1;SCLT1;STIL;LNX2;CDC42;DUSP4;MAPKAPK5;TRAF2;FOS;NFATC4;DUSP8;DUSP8;DUSP8;WNT7A;FAM19A3;ZFC3H1;LRRC56;LRRC56;RHPN1;CCDC120;RASL10B;ZNF414;HOXC10;C5orf24;TULP3;TRIM25;FBXO7;RNF123;SSU72;MFN2;C1orf94;MACF1;SF3B4;VSIG8;NCSTN;STK25;SEC13;TUSC2;LRRC15;LNX1;MAPK10;CEP44;CDC25C;HIST1H1B;L3MBTL3;HDAC9;BAZ1B;NCF1;XPO7;SPTAN1;XPNPEP1;PKP3;FTH1;CEP126;SMCO3;PRKD1;PPM1A;ZBTB25;PSEN1;AKT1;CCDC33;NFATC3;DHX33;SHMT1;DUSP14;MAPT;LAMA1;DSG4;SERPINB5;ACP5;JUNB;PKN1;JUND;MAP3K10;IRF3;CDC25B;BCL2L1;NFATC2;CSNK1E;EFHC2;ELK1;TEX11;STK26;DUSP14;MAPT;MAPT;Trp53;Rps6kb1;Rara;Rarg;SHMT1	Physical Interaction	N-{3-[5-(1H-1,2,4-triazol-3-yl)-1H-indazol-3-yl]phenyl}furan-2-carboxamide
MAVS	MAVS;CARDIF;IPS-1;IPS1;VISA	57506	GeneID:57506;HGNC:HGNC:29233;MIM:609676;ensembl_gene_id:ENSG00000088888	Homo sapiens	OTUB1;OTUB2;OTUB2;DDX58;RNF5;RNF5;RNF5;RNF5;RNF5;RNF5;RNF5;RARRES3;TRAF3;CALCOCO2;IKBKE;IRF3;IRF5;IFIH1;IKBKG;TBK1;WDR5;PSMA7;ITCH;PCBP2;ECSIT;TSPAN6;TRAF6;TMEM173;TRAF2;TICAM1;MAP3K7;IRF7;IRF7;NDFIP1;SMURF1;FLOT2;TOMM70;AMFR;SMURF2;UBXN1;KCNIP3;ABL1;DHRS9;KPTN;PSMC3;CHRNA9;IFIT3;NFKBIA;IKBKB;NUP35;HERC2;HERC2;HERC2;RNF166;MAVS;COQ9;CISD3;CISD3;TRIM14;SMURF1;DDX3X;CDH1;TRIM31;TRIM31;TRIM31;TRIM31;TRIM31;TRIM31;TRIM31;TRIM31;TRIM25;Trim31;Trim31;Trim31;Trim31;SOD1;PLK1;VAC14;SLC7A1;SLC39A12;HSPA9;BZW2;HSPA8;RAB6B;SPPL2B;VIPR2;TLR1;PRKN;PRKACA;PRKACB;FBXO32;PPP6C;WRNIP1;PPIA;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;NLRX1;ESR2;AIFM1;SCO1;TOMM20;COX14;SFXN1;TOMM22;MGST3;PLGRKT;PTRH2;TRIM21;DYNC1LI1;DYNC1LI2;RACK1;USP35;CYLD;OTUD4;USP2;USP4;USP12;USP19;USP22;USP28;USP29;USP46;EIF3H;COPS6;JOSD2;OTUD7B;MIB2;MFN2;MUL1;ZC3H12A;HECTD3;TRAF5;EIF2AK2;STAT1;WDR82;MFN1;PDS5A;BAG6;TAX1BP1;RIPK2;TRAF1;MARCH5;FADD;BIRC3;BIRC2;UBE4A;KRR1;OAS3;RNF31;FKBP8;SRC;RNF114;CSNK1E;BAG6;BAG6;BAG6;BAG6;BAG6;BAG6;RNF31	Physical Interaction	
MYD88	MYD88;MYD88D	4615	GeneID:4615;HGNC:HGNC:7562;MIM:602170;ensembl_gene_id:ENSG00000172936	Homo sapiens	TLR3;TLR4;IL1R1;Il1rap;TIRAP;MYD88;IRAK1;IL1RAP;IRAK2;CISH;SARM1;IRAK4;SQSTM1;HDAC6;TLR9;CBLB;STAP2;PELI1;SMAD6;SMURF1;TRAF6;IL1RL1;TNFRSF13B;IKBKE;FADD;MBIP;MAL;MDM2;CD93;IKBKG;IRF4;SQSTM1;SMURF1;TAE1;HNRNPL;PIK3AP1;PRDX1;TLR5;LRRFIP1;LRRFIP2;SIAH2;TLR2;TNIP1;POLR1C;MAP3K7;SASH1;RAC1;IRF5;UBAP1;SYK;TXN;IRF7;TSG101;IRAK3;TRAF3;SMAD3;USP7;SIAH1;CYLD;FLII;SPOP;BST2;PFKL;TLR7;BTK;IRF7;FLII	Physical Interaction;Genetic Interaction	
NFKBIA	NFKBIA;IKBA;MAD-3;NFKBI	4792	GeneID:4792;HGNC:HGNC:7797;HPRD:01235;MIM:164008;ensembl_gene_id:ENSG00000100906	Homo sapiens	SUMO4;COMMD1;NCOR2;RELA;MED19;CHUK;PTPN13;FBXW11;BTRC;TP53;VCP;HNRNPA1;DYNLL1;PIK3R1;IKBKB;RPS6KA1;RPS6KA1;NFKB1;G3BP2;REL;LYL1;HDAC3;ABL1;HDAC1;HDAC2;HDAC4;HDAC5;RPS3;SKP1;SLC25A4;RASA1;CSNK1A1;BCL10;IKBKG;CDC34;CSNK2B;CSNK2B;CSNK2B;CSNK2B;CSNK2B;CSNK2B;CSNK2B;HNRNPU;MAPK14;PSMA4;UBE2D3;UBE2D2;UBE2L3;RWDD3;ERC1;ERC1;Ikbkg;RPS6KA3;CUL1;ITPK1;ITPK1;MAP3K1;SOCS3;ZBTB7A;IKBKE;TBK1;ZNF212;IKZF4;ARRB1;ARRB2;STAT1;PRKCA;Csnk2b;CD7;TNF;TNF;TNF;TNF;TNF;TNF;TNF;TNF;UBE2D1;UFD1;NPLOC4;MTOR;NEDD9;UBE2I;MAP3K7;XPO1;RNF183;RNF121;AKT1;CASR;EP300;RNF115;HIF1AN;EGLN3;RELB;TNIP2;ASB2;ASB2;GNG5;DCAF6;CENPF;AIDA;TBCE;CHAC2;BARD1;COL7A1;RHOA;PLS1;SPDL1;NFKBIE;ARMT1;AVL9;PSMA2;POM121;PPP1R9A;POLR2J;ST7;CLU;TCEA1;ARHGAP39;PRTFDC1;OGDHL;NFKB2;PSMA1;OTUB1;CAPN1;BIRC2;FBXW8;DENR;GNPNAT1;ATXN3;COPS2;TBC1D24;DNAJA3;UBFD1;POLR2C;TLDC1;CTU2;MED31;POLR2A;NCOR1;COPS3;MAP3K14;SCRN2;HOXB7;CUEDC1;GPS1;YES1;MALT1;POLRMT;PIN1;ANKRD27;NFKBIB;MAVS;SRC;TGM2;AURKA;SPECC1L;ATF4;PIR;MCTS1;DNAJA3;POLR2A;ELP1	Physical Interaction;Genetic Interaction	Acetylsalicylic acid
RIPK1	RIPK1;RIP;RIP-1;RIP1	8737	GeneID:8737;HGNC:HGNC:10019;MIM:603453;ensembl_gene_id:ENSG00000137275	Homo sapiens	RIPK3;TICAM1;TRPC4AP;FAS;TRAF2;RNF216;TNFRSF10B;CFLAR;SQSTM1;CASP8;CASP10;CRADD;TNFRSF1A;EGFR;MAP3K14;TRADD;TRAF1;TRAF3;RNF11;ITCH;BIRC2;BIRC3;PIDD1;TNFAIP3;TNF;TNF;TNF;TNF;TNF;TNF;TNF;TNF;USP21;PELI1;TAB2;IKBKG;FADD;OPTN;CYLD;XIAP;KHDRBS1;USP2;TNFRSF25;NOD2;RIPK2;MAP3K7;RBCK1;USP4;TLR3;CCDC50;UBE2N;MAP3K3;TNFRSF1B;RIPK1;ANXA1;CHUK;LRRK2;TNFSF10;HSP90AA1;NUMBL;BMH1;YOD1;OTUD1;RFFL;PYCARD;MLF1;NTAN1;NTAN1;FGL1;HERC2;HERC2;HERC2;AP1M2;UBC;XPO1;EGLN3;RNF31;ERN1;SQSTM1;RIPK3;RNF31;TRIM27;TRIM27;TRIM27;TRIM27;TRIM27;TRIM27;TRIM27;MLKL;ATG7;GPX7;THSD4;WDR48;USP1;ANGPTL8;CBL;PRKN;USP20;TNIP2;TBK1;IKBKE;MTDH;TRAF5;TAX1BP1;IKBKB;DAB2IP;MAP3K8;CDC42BPB;COX5A;XAF1;CLIP3;TAB1	Physical Interaction	
RNF135	RNF135;L13;MMFD;REUL;Riplet	84282	GeneID:84282;HGNC:HGNC:21158;MIM:611358;ensembl_gene_id:ENSG00000181481	Homo sapiens	RARRES3;DDX58;GOLGA2;CTNNAL1;RNF135;TACC3;BSPRY;NIN;TXLNA;EPB41L5;IQCB1;GTF2H2;XRCC4;UBE2D2;TES;KLHL42;GTF2H2	Physical Interaction	
TANK	TANK;I-TRAF;ITRAF;TRAF2	10010	GeneID:10010;HGNC:HGNC:11562;HPRD:04870;MIM:603893;ensembl_gene_id:ENSG00000136560	Homo sapiens	TBK1;TRAF1;TRAF2;TRAF3;ITGB1BP1;IKBKG;IKBKE;TRIM37;Tbk1;PLK1;MARCH5;TICAM1;HERC2;HERC2;HERC2;TAB2;MAP3K14;TANK;BIRC2;BIRC3;HLA-C;HLA-C;HLA-C;HLA-C;HLA-C;HLA-C;HLA-C;LAMC1;AIMP2;COPB1;FBLN1;ATP6V1H;BIK;KPNA2;SMAD3;SDC4;RACGAP1;INPP5K;TP53BP2;SRSF11;ZFP36;SUMO2;BBOX1;CEP128;CEP63;ZC3H12A;USP10;TRAF6;HIF1AN;C9orf72;TNIP2;CD40;TNF;TNF;TNF;TNF;TNF;TNF;TNF;TNF;ESR2;TNFRSF1A;BICD1;BICD2;TXLNA;PPT1;KIF2C;DNAJB4;PKN2;SASS6;RNF115;HIST2H3A;OTUD7B;IVL;SPRR1B;HAX1;PBXIP1;IQGAP3;KIF14;YOD1;TRAF5;NEK2;INTS7;SNAP47;NTPCR;HEATR1;ADSS;PELI1;ANXA4;IGKC;CCDC138;PLEKHB2;KIF5C;CNOT9;ZFAND2B;OBSL1;GIGYF2;CNOT10;OXSR1;CACNA2D2;CBLB;NAA50;GSK3B;IQCB1;MLF1;RFC4;CCDC50;CEP135;JCHAIN;SH3RF1;TENM3;CETN3;CCDC112;CSNK1A1;TNIP1;STK10;PPP2R5D;MOXD1;TNFAIP3;ULBP3;FAM20C;CAMK2B;MDH2;BAIAP2L1;EPHB4;TRIP6;NCAPG2;IKBKB;ELOC;TBC1D31;PLEC;NOL6;PRSS3;CNTFR;PCSK5;OGN;NCS1;FUBP3;GPSM1;SAPCD2;SSNA1;CALML3;OIT3;CHUK;HABP2;IRF7;EIF4G2;PARVA;UEVLD;AHNAK;FADD;AMOTL1;DYNC2H1;UBASH3B;CCDC77;EPS8;KRT80;KRT79;PFDN5;RNF41;ATP5F1B;PRIM1;ANAPC7;NOC4L;RFC3;CKAP2;ERO1A;HSPA2;IGHA1;IGHG1;ULK3;KIF7;TELO2;ZNF598;PDPK1;CNOT1;MBTPS1;TLDC1;PAFAH1B1;TRAF4;UTP6;CDC6;KRT15;SCPEP1;MRC2;CEP95;SDK2;CEP131;ACTG1;CSNK1D;MIB1;ATP5F1A;SERPINB5;SERPINB4;APBA3;EIF3K;GSK3A;IRF3;AP2A1;CNOT3;SDCBP2;TRMT6;PFDN4;HSPA13;APP;NF2;PICK1;RAB9A;OFD1;TXLNG;AMOT;GDI1;KIF5C;FAM20C;IRF7;IGHA1;IGHG1;CNOT3;FAM20C;CNOT3;CNOT3;CNOT3;CNOT3;CNOT3;CNOT3;CNOT3;CNOT3	Physical Interaction	
TBK1	TBK1;FTDALS4;NAK;T2K	29110	GeneID:29110;HGNC:HGNC:11584;HPRD:05322;MIM:604834;ensembl_gene_id:ENSG00000183735	Homo sapiens	NFKB1;IKBKG;TRAF2;NCK1;TANK;TRAF3;TNFAIP3;RB1CC1;TNF;TNF;TNF;TNF;TNF;TNF;TNF;TNF;TLR4;TLR9;TLR3;NCOA2;CALCOCO2;IRF3;AZI2;OPTN;TBKBP1;TMEM173;TICAM1;TXLNA;TXLNG;MIB1;MIB2;NEDD4;NLRP4;DTX4;TNIP1;TAX1BP1;TBK1;HERC2;HERC2;HERC2;TRAIP;TRIM27;TRIM27;TRIM27;TRIM27;TRIM27;TRIM27;TRIM27;MAVS;HSP90AA1;RNF11;YWHAE;YWHAE;TOMM70;TRAF3IP2;DDX58;SYK;PROS1;STX11;ANKRD28;LATS2;EXOC2;EGFR;Trim11;CCDC8;MAP1LC3B;AKT1;SOCS3;STX12;STX3;STX19;APBA3;BBOX1;TRIM10;TRIM10;TRIM10;TRIM10;TRIM10;TRIM10;TRIM10;TRIM10;IFIT3;USP2;PELI1;NTRK1;MED4;SCLT1;SSX2IP;OFD1;CEP152;CNTROB;CEP128;CEP135;CEP44;CEP63;NINL;ODF2;SASS6;STIL;XPO1;ESR1;MCM2;TRIM26;TRIM26;TRIM26;TRIM26;TRIM26;TRIM26;TRIM26;TRIM26;TRAF1;DYRK2;PBXIP1;SMURF1;SMURF1;TRAF6;TRIM9;GSK3B;RNF128;PLK1;HIF1AN;TXLNB;WHRN;HERPUD1;TRAF5;TRIM23;YAP1;HNRNPL;CLEC14A;BMPR1A;EGLN3;PTPRD;WDR48;USP1;TNIP2;ICOS;ESR2;RNF123;PRKN;ATG16L1;ATG16L1;TNFRSF1A;HDAC2;BICD1;BICD2;HOOK1;NIN;ZC3H12A;RBBP5;IKBKE;REL;ATG9A;LETM1;SKP1;HMMR;SQSTM1;RIPK1;CUL1;AGO2;TRIM14;PPP6C;MTPAP;BTRC;NFKB2;IRF7;TRIM21;CDC42BPG;RELA;RNF31;NFKBIA;CYLD;FXR2;SMCR8;MBP;CDC37;PPP6R1;SRC;CTNNBL1;APP;PPP6R2;XIAP;FMR1;IRF7;SQSTM1;SMCR8;RNF31	Physical Interaction;Genetic Interaction	
TICAM1	TICAM1;IIAE6;MyD88-3;PRVTIRB;TICAM-1;TRIF	148022	GeneID:148022;HGNC:HGNC:18348;MIM:607601;ensembl_gene_id:ENSG00000127666	Homo sapiens	RIPK1;RIPK3;TRAF2;TRAF6;UBQLN1;CBLB;TRIM56;TRAF1;TBK1;PIAS4;SRSF4;TRAF3;TICAM1;CASP8;CFLAR;IRF3;XPO1;MKNK2;KIF21B;CDCA5;Immt;TLR3;TLR4;RIPK3;FOSL1;TRIM25;TRIM8;ABCF1;ABCF1;ABCF1;ABCF1;ABCF1;ABCF1;ABCF1;TRAF5;TANK;TICAM2;TRIM38;TNFAIP3;RNF216;SYK;TRAF4;CARM1;MAVS	Physical Interaction	
