Gene	Synonyms	GeneID	Aliases	Organism	Interaction	Interaction_Type	Drug
EIF2B1	EIF2B1;EIF2B;EIF2BA	1967	GeneID:1967;HGNC:HGNC:3257;HPRD:09458;MIM:606686;ensembl_gene_id:ENSG00000111361	Homo sapiens	ARHGDIA;MRPL4;ARL4D;EIF2S1;ADRB2;ADRA2B;ADRA2C;DCC;STK11;EIF2B1;EGFR;BZW2;VTI1B;STX12;FOXR2;CA14;GPR183;LUC7L;P2RX4;PTGER3;NECTIN4;HNRNPA1;AP2A1;AP2A2;AP2A2;AP2A2;ARF1;CAD;EIF2B2;EIF2B3;EIF2B4;LYPLA2;MTAP;SERPINB3;TRMT6;NTRK1;XPO1;HNRNPU;RPL10;SORT1;SYNCRIP;NOP56;SGTB;ZFC3H1;Mcm3;Rpl35;Rrbp1;EPM2A;GYPB;SIGLECL1;CLEC3A;BHLHA15;SMDT1;SMDT1;SMDT1;SMDT1;EIF2B5;DLD;ESR2;MEPCE;RECQL4;VIRMA;ATG16L1;ATG16L1;TNFSF13B;UNC93B1;GCD2;GCD6;RD3;GORASP2;PDIA4;WDYHV1;MCU;DCD;SERPINB13;HNRNPL;MPST	Physical Interaction	
EIF2B2	EIF2B2;EIF-2Bbeta;EIF2B	8892	GeneID:8892;HGNC:HGNC:3258;HPRD:05923;MIM:606454;ensembl_gene_id:ENSG00000119718	Homo sapiens	CCT3;EIF2B5;NCK1;DCC;EIF2B1;EGFR;CSNK2A2;EIF2B3;FKBP3;EIF2B4;VTI1B;EFNB2;STX12;CA14;GPR183;IGSF8;PNKD;P2RX4;OPN3;SPN;PTGER3;NECTIN4;EPB41L3;C9orf72;PCGF6;XPO1;RPL10;Srp72;GYPB;SIGLECL1;EPHA1;EPHA1;SYT1;SMDT1;SMDT1;SMDT1;SMDT1;DLD;ZNF598;RECQL4;RC3H1;ATG16L1;ATG16L1;TNFSF13B;VAMP3;YBX1;ILF2;DHX9;B3GALNT2;HNRNPU;DDX1;SPTBN1;EXOG;QARS;RFC4;MRFAP1L1;SLC10A7;DIMT1;ABCF1;MFSD4B;ENPP1;BZW2;IGF2BP3;HNRNPA2B1;GOLM1;NELFB;MCU;MRE11;WNK1;YBX3;RTRAF;EIF5;SLC27A2;EDC4;UBB;NMT1;PTBP1;HNRNPM;UBA52;EIF3K;APP;RTCB;ABCF1;ABCF1;ABCF1;ABCF1;ABCF1;ABCF1	Physical Interaction	
EIF2B3	EIF2B3;EIF-2B;EIF2Bgamma	8891	GeneID:8891;HGNC:HGNC:3259;HPRD:09379;MIM:606273;ensembl_gene_id:ENSG00000070785	Homo sapiens	EIF2B1;NDUFB8;EIF2B5;EIF2B4;EIF2B2;EGFR;FBXO6;EIF3C;FKBP3;FLII;G3BP1;VTI1B;STX12;ECH1;CA14;GPR183;PNKD;P2RX4;OPN3;SPN;PTGER3;SCN2B;NECTIN4;HNRNPA1;XPO1;CDC42;ZWINT;Cdk1;FLII;GYPB;SYT1;SIGLECL1;EPHA1;EPHA1;TMEM206;UXS1;FZD10;CD70;CD4;HTR2C;SMDT1;SMDT1;SMDT1;SMDT1;EGLN3;MYC;VIRMA;NR2C2;KRAS;CD74;BCL2L14;BCL2L14;P2RY6;SLC15A3;TNFSF13B;UNC93B1;ILF2;DHX9;HNRNPU;DDX1;QARS;RFC4;DIMT1;STC2;ABCF1;IGF2BP3;NELFB;MRE11;YBX3;RTRAF;EDC4;NMT1;HNRNPM;RTCB;ABCF1;ABCF1;ABCF1;ABCF1;ABCF1;ABCF1	Physical Interaction;Genetic Interaction	
EIF2B4	EIF2B4;EIF-2B;EIF2B;EIF2Bdelta	8890	GeneID:8890;HGNC:HGNC:3260;MIM:606687;ensembl_gene_id:ENSG00000115211	Homo sapiens	DCC;EIF2B2;EBNA1BP2;DCP1A;EGFR;VTI1B;EFNB2;STX12;CA14;GPR183;IGSF8;PNKD;P2RX4;OPN3;SPN;PTGER3;SCN2B;NECTIN4;EPB41L3;EIF2B3;EIF2B5;FTSJ3;NTRK1;XPO1;HNRNPU;RPL10;XRCC3;NOP56;MTX2;EXOSC4;Srp72;GYPB;SIGLECL1;EIF2B1;TMEM206;EPHA1;EPHA1;SYT1;FZD10;CD4;SMDT1;SMDT1;SMDT1;SMDT1;TRIM25;TES;HNRNPL;CFTR;EFTUD2;RIOK1;ESR2;FBXW7;MYC;VIRMA;BRCA2;ATG16L1;ATG16L1;NR2C2;HDAC2;CD74;MS4A4A;P2RY6;SLC15A3;TNFSF13B;UNC93B1;ZNF622;BZW2;MCU;EIF2S1;ARHGDIA	Physical Interaction	
EIF2B5	EIF2B5;CACH;CLE;EIF-2B;EIF2Bepsilon;LVWM	8893	GeneID:8893;HGNC:HGNC:3261;MIM:603945;ensembl_gene_id:ENSG00000145191	Homo sapiens	EIF2B1;EIF2B2;EIF2B3;EIF2B4;CHMP2A;EGFR;VTI1B;EFNB2;STX12;COMTD1;CA14;CD68;GPR183;IGSF8;PNKD;P2RX4;OPN3;SPN;PTGER3;EIF3I;NTRK1;XPO1;GYPB;TMEM206;SYT1;EPHA1;EPHA1;SIGLECL1;ILVBL;UXS1;FZD10;SMDT1;SMDT1;SMDT1;SMDT1;TRIM25;DCPS;MYC;ATG16L1;ATG16L1;GSK3B;DYRK2;DYRK1A;APEX1;CD74;P2RY6;SLC15A3;TNFSF13B;UNC93B1;EIF4G3;NUDC;MRPS5;NUP43;EXOSC4;ATP5MD;UBA2;EIF3K;APP;EIF3D;EIF3L	Physical Interaction	
EIF2S1	EIF2S1;EIF-2;EIF-2A;EIF-2alpha;EIF2;EIF2A	1965	GeneID:1965;HGNC:HGNC:3265;HPRD:04881;MIM:603907;ensembl_gene_id:ENSG00000134001	Homo sapiens	EIF1B;PPP1R15A;EIF2AK2;RAD21;HDGF;ELAVL1;ERG;COPS5;CAND1;EIF2AK3;DDX1;FN1;VCAM1;CSNK2A1;Dlg4;Dlg4;UPF1;ITGA4;MMS19;NPM1;TERT;EIF2S2;RPA1;RPA2;RPA3;HUWE1;CCDC8;RNF2;MAST3;PRKCA;HSPB1;CAD;DNTTIP1;EIF2B4;EIF5;ETF1;PRMT5;SFN;NTRK1;EWSR1;XPO1;Rpl35;Rrbp1;CDC73;PTPN2;CYLD;DLD;DNM1L;PDHA1;SDHA;SOD1;BRCA1;TRIM14;CTNNB1;PRPF8;PRPF8;EFTUD2;AAR2;PIH1D1;TNIP2;CHD3;CHD4;SPDL1;RIOK1;SYVN1;ESR2;HEXIM1;RECQL4;REST;MYC;RAB11A;BET1;ACTC1;PHB;USP14;NR2C2;MTDH;PRMT7;KRAS;CD74;DDX60;MAB21L2;YBX1;TOE1;STRN;DARS;RPL15;MAP4;QARS;RPN1;AIMP1;TMED9;EEF1E1;POP1;RPL7A;RPL27A;POLR2G;MARS;RPLP0;EIF2B1;HSP90AA1;RPS27L;RPL13;CDC37;NCOA5;EIF2S3;RPL7A;EIF2S3B	Physical Interaction;Genetic Interaction	
EIF2S2	EIF2S2;eIF-2-beta;EIF2;EIF2B;EIF2beta;PPP1R67	8894	GeneID:8894;HGNC:HGNC:3266;HPRD:04882;MIM:603908;ensembl_gene_id:ENSG00000125977	Homo sapiens	EIF5;PRKDC;Eif5;H2AFX;DCC;HDGF;CAND1;EIF2S1;PAXIP1;CSNK2A1;CSNK2B;CSNK2B;CSNK2B;CSNK2B;CSNK2B;CSNK2B;CSNK2B;UPF1;MMS19;GCN1;RPA3;RPA2;RPA1;SUZ12;RNF2;MAST3;ESR1;KLHL20;MBD5;SERPINB5;HOXB5;ZCCHC7;ETFA;RNF26;CYP1A1;RPS6KB2;ATAD3B;CDC5L;ETF1;FBL;FBL;MRTO4;MYL9;SUB1;NTRK1;APP;NCK1;XPO1;COPS7A;EXOSC4;EXOSC1;Rrbp1;Ksr1;CYLD;TRIM25;G3BP1;GSK3A;PCBP1;RAD18;PRPF8;PRPF8;EFTUD2;TNIP2;RIOK1;AGR2;RECQL4;MYC;RAB11A;RAB9A;BET1;TUBA1A;TOMM20;SFXN1;TOMM22;AURKAIP1;METTL14;PHB;MAPT;MAPT;MAPT;USP14;NR2C2;UBQLN2;MTDH;PRMT7;NHLRC2;KRAS;DDX60;NOP58;RPL37A;RPL15;CRMP1;NSA2;NPM1;HMGA1;RPS10;RPS12;DDX56;TLE1;ATP5F1C;CDC123;STIP1;FAU;CCDC90B;CEP126;ZBTB16;NCAPD3;PA2G4;RAN;NEMF;KIF23;EIF5A;TP53;UNC119;VAT1;PLEKHM1;UBA52;APLP1;RPS19;NOP56;EIF2S3;PLEKHM1;PLEKHM1	Physical Interaction;Genetic Interaction	
EIF2S3	EIF2S3;eIF-2gA;EIF2;EIF2G;EIF2gamma;MEHMO;MRXSBRK	1968	GeneID:1968;HGNC:HGNC:3267;HPRD:02155;MIM:300161;ensembl_gene_id:ENSG00000130741	Homo sapiens	EIF1B;CASP4;DCC;RAD21;NDRG1;HDGF;ELAVL1;CDK2;CAND1;GRK5;EIF2S1;FN1;MAPK6;TARDBP;AIP;DNAJA1;EEF1E1;QARS;RARS;RNF2;EIF2S2;UNK;ABCF2;GTPBP1;HBS1L;POLR1B;SUB1;NTRK1;XPO1;DNAJC7;NOP56;Hsph1;Rrbp1;Bag2;NF2;Ksr1;C1orf131;CDC73;CDH1;CYLD;TRIM25;KRAS;PRPF8;PRPF8;EFTUD2;AAR2;RIOK1;ESR2;AGR2;CDK9;RPS6KB2;KRT17;PHB;NRAS;MAPT;MAPT;MAPT;NR2C2;PRMT7;PSMD14;CD74;DDX60;MAB21L2;IMPDH2;AIMP1;CCAR2;PYM1;IQGAP1;PLD3;RPS4X	Physical Interaction	Guanosine-5'-Diphosphate
ERN1	ERN1;hIRE1p;IRE1;IRE1a;IRE1P	2081	GeneID:2081;HGNC:HGNC:3449;MIM:604033;ensembl_gene_id:ENSG00000178607	Homo sapiens	TRAF2;ERN1;HSPA5;HSP90AA1;SYVN1;DERL1;DERL3;DERL3;COPS5;SRPK2;TRAF6;USP14;RNF13;STUB1;MYC;MAP3K5;TP53;RIPK1;WDYHV1;SCGB2A2;LYPD4;ZNRF4;NMI;SEC61B;VIRMA;FBXO11;SEC61A1;UCHL1;SEC63;OTUB1;TAOK3;PSEN1;SEL1L	Physical Interaction;Genetic Interaction	N~2~-1H-benzimidazol-5-yl-N~4~-(3-cyclopropyl-1H-pyrazol-5-yl)pyrimidine-2,4-diamine
ERO1A	ERO1L;ERO1-alpha;ERO1-L;ERO1-L-alpha;ERO1A;ERO1LA;Ero1alpha	30001	GeneID:30001;HGNC:HGNC:13280;HPRD:13278;MIM:615435;ensembl_gene_id:ENSG00000197930	Homo sapiens	ERP44;H2AFX;FBXO6;PDIA3;PDIA2;ATF2;LYN;CBS;DBNL;P3H1;APPBP2;ERO1B;P4HB;NTRK1;TCTN3;TCTN1;RHOU;RHOU;EBF1;TANK;LINC01554;GPX7;GPX8;PDIA4;LRSAM1;RNH1;PPME1;PELI2;DDX5;HSPBP1;WDR4;RNH1	Physical Interaction	
FADD	FADD;GIG3;MORT1	8772	GeneID:8772;HGNC:HGNC:3573;HPRD:03909;MIM:602457;ensembl_gene_id:ENSG00000168040	Homo sapiens	ABCA1;RHOA;ARHGDIA;BID;EZR;FAS;MAPK8;MSN;CASP10;CASP8;FASLG;MBD4;NACA;MOB4;CFLAR;RIPK1;RYBP;RYBP;DAP3;TNFRSF10B;TNFRSF10A;PEA15;HIPK3;PIDD1;CASP8AP2;TRADD;TNFRSF1A;RALGDS;MAVS;KHDRBS1;TAB1;TNFSF10;FAF1;EDAR;BMX;LRRK2;IKBKG;PARK7;Fas;TRAF2;CUL3;MKRN1;RIPK3;TNF;TNF;TNF;TNF;TNF;TNF;TNF;TNF;ATG5;Naca;NAXE;EHD1;RAP1A;CASP8AP2;RIPK3;TLR3;FADD;PIN1;STUB1;TANK;TRPC6;SQSTM1;SQSTM1;PRKCZ;AKR7A2;KIF2C;DEDD;NLRC4;RHOQ;IL37;MYD88;ROBO2;CCDC50;NDNF;SLC7A11;TPPP;ATG12;CSNK1A1;TNIP1;DAXX;TNFAIP3;NUPL2;DAPK1;EPB41L4B;GOLGA7B;CHUK;IRF7;TRIM21;THAP12;RNF41;IGHA1;CKMT1A;ULK3;NOL3;DNAAF1;SPOP;SDK2;ACTG1;CSNK1D;S1PR2;CLIP3;NEFH;PRDX4;IRF7;IGHA1;DAXX;DAXX;DAXX;DAXX	Physical Interaction;Genetic Interaction	
FOS	FOS;AP-1;C-FOS;p55	2353	GeneID:2353;HGNC:HGNC:3796;HPRD:01275;MIM:164810;ensembl_gene_id:ENSG00000170345	Homo sapiens	RELA;NELFB;NCOA6;NCOA1;BCL3;RPS6KA4;CREBBP;JUN;SPI1;DDIT3;SMAD3;TSC22D3;ETS2;NACA;MITF;VDR;TBP;TAF1;RUNX2;RUNX1;PML;NCOR2;XBP1;HNF1A;ATF2;RPS6KA2;MAZ;UBR1;MAPK7;POLR2E;EP300;UBE2I;UBE2D1;UBE2L3;SIRT1;MAFB;MAF;MAFF;ATF3;ATF4;FOS;JUNB;CEBPE;CEBPA;CEBPG;ABL1;Psma4;AQP1;EGFR;STAT1;DNMT3L;KDM2B;NFATC2;NFATC1;NFAT5;TRX3;HIRA;UBN1;ASF1A;FHL3;HIF1A;PIN1;MAPK3;CCND1;Lmo7;HIST1H4A;SSU72;STK40;PRKAA2;FNBP1L;TSPAN2;ANP32E;USF1;CENPO;HOXD13;MTERF4;GLB1;SMARCC1;ATP5ME;ANKRD17;COPS4;TRAPPC13;MAP1B;NR2F1;HSD17B4;ANKHD1;SRA1;MAPK9;VARS;HSPA1A;GLO1;VEGFA;ESR1;CREB5;GNG11;NEFM;CLU;GTF2E2;NCOA2;TRIB1;EEF1D;GRHPR;SET;KDM2A;MED17;LMO3;ATF7;SMARCC2;YEATS4;PPP1R12A;CABP1;ARL6IP4;KBTBD7;GTF2F2;RB1;LMO7;TCL1A;DET1;NFATC2IP;CSNK2A2;UTP4;NQO1;SMARCE1;PSMC5;FAAP100;GAMT;GTF2F1;KHSRP;CARM1;NFIX;NR2F6;JUND;USF2;FOSB;IL11;CSNK2A1;ZNF133;AHCY;NCOA3;ARFGAP1;APP;MAPK1;CHEK2;CYTH4;DDX17;LUZP4;MTMR1;VARS;HSPA1A;EEF1D;UTP4;VARS;HSPA1A;VARS;HSPA1A;VARS;VARS;HSPA1A;VARS;COP1	Physical Interaction;Genetic Interaction	Pseudoephedrine;Nadroparin
HSPA5	HSPA5;BIP;GRP78;HEL-S-89n;MIF2	3309	GeneID:3309;HGNC:HGNC:5238;HPRD:00682;MIM:138120;ensembl_gene_id:ENSG00000044574	Homo sapiens	TCERG1;DDX24;DDX24;PSME3;BCAR1;LCT;TMEM132A;VWF;EIF2AK3;HLA-C;HLA-C;HLA-C;HLA-C;HLA-C;HLA-C;HLA-C;UBQLN4;MEPCE;RUVBL2;CDK9;POLR3H;GRB2;SREBF2;APC;H2AFX;Pias1;AIRE;HDAC6;TADA2A;TADA2A;DNMT1;CBL;HAX1;YY1;UCHL5;SNW1;AGO4;Mapk13;Mapk13;DGCR8;HDAC5;SPART;SRC;DYRK2;YWHAB;SIRT1;SIRT3;INSIG2;TP53;SYVN1;AMFR;PAWR;PSMA3;RAF1;RNF146;Psma2;NDRG1;SH3BP4;FCHSD2;ARRB1;ARRB2;OS9;FBXO25;ERLEC1;PPP1CC;PSMA2;APOB;CUL3;CUL4A;CUL4B;CUL5;CUL2;CDK2;CUL1;COPS5;COPS6;DCUN1D1;CAND1;NEDD8;KCND3;PWP1;RPN1;AKT1;INPPL1;UBASH3B;SHC1;CRK;CRK;EPS15;SFTPC;DNAJB9;HSPD1;HSP90B1;ATP5F1A;BASP1;UBC;ASGR1;EGFR;SMURF1;FMNL1;VCP;HSP90AA1;LDLR;HSPBP1;PRNP;SSR1;FN1;CDH1;TP63;BRAF;IQCB1;MTNR1A;NOS2;MAP1LC3A;CAMKMT;EEF2KMT;METTL18;ETFBKMT;METTL21A;EEF1AKMT3;METTL21C;METTL22;METTL23;UBL4A;ZSWIM7;AICDA;PAN2;Tdgf1;NPM1;MAPK7;ADRB2;PIK3C3;CPT1A;VHL;FBXO6;TARDBP;TOPBP1;TRAP1;PRKN;HLA-B;HLA-B;HLA-B;HLA-B;HLA-B;HLA-B;CLNS1A;DCPS;HSPA1A;HSPA1A;HSPA1A;HSPA1A;HSPA1A;MSN;TUBB4A;VCL;RPA1;RPA2;RPA3;MDM2;CLU;STAU1;AURKA;AURKB;CDC20;CDKN1A;CEP250;CEP57;HAUS2;CEP70;CEP76;LGALS3BP;MAGED2;TUBG1;TUBGCP2;TUBGCP3;TUBGCP3;TUBGCP4;GPX7;HUWE1;FUS;EP300;RELA;ERLIN2;SHMT2;MOV10;NXF1;CUL7;OBSL1;CCDC8;EED;DNAJB11;FAM187B;INHA;KLK3;COLEC11;IDS;GLB1L3;ITLN1;UPK3B;ANTXR1;CLEC18A;ACP5;TMEM25;GLT8D2;IL12RB1;LDHAL6B;PRSS50;FBLN7;SERPINB11;TOR3A;PTCH1;WNT3A;ISLR;NAPSA;ASTL;WNT4;WNT9B;WNT9B;NYX;SPACA4;PON2;CCNJL;RPS6KB2;HNRNPA1;HSPB1;AMBRA1;DNAJA1;DNAJA4;PTBP1;NTRK1;NCOA1;TCTN2;TCTN3;TCTN1;HIST1H3E;AHSA1;DVL2;CKAP5;ING3;TEPSIN;Pafah1b1;ID2;UBE3A;SKI;CRY1;ALKBH3;TRIM29;MCM2;HSPA5;PRDM1;Ksr1;CDC5L;SQSTM1;SIL1;DNAJC1;SEC63;DNAJC3;MEX3C;OTUB1;ERBB3;ESRRB;CDC37;SQSTM1;U2AF2;RC3H1;NFATC1;NFATC2;BCAR1;NEDD8;SMURF1;CDC73;WWP2;PTPRN;PTPRN2;VIT;ANGPTL2;PODN;SYPL2;CSN1S1;PCDHA10;HAPLN3;SCGB1D4;KIAA2013;WNT7A;WNT2;INHBE;RETN;CPA5;DHH;VSIG8;PRSS2;PRSS2;DPEP3;CPA2;TSHB;FUCA2;VWCE;ITGA9;SCGB1D1;EPHA7;SPACA3;GLB1L2;MPPE1;SIGLEC12;SDF2;NPB;EFEMP1;LRP1;AGT;LRRC32;SERPINF1;SERPINF1;LOXL3;ARSI;INSL6;PROZ;B4GALT4;NRROS;P4HA3;SIGLEC10;EPPIN;ST3GAL2;ADAMTS18;ASGR2;TEPP;LYPD1;HLA-DRB5;NSG2;GNRH1;HS3ST2;TINAG;BMP1;EGFL6;ADAM21;LYZL2;DNASE1L2;GLIPR1;MTNR1B;CYLD;MYORG;EDEM3;TRIM25;UBE2S;ESR1;HEY1;BRCA1;DCAF4L2;SERPINB5;CFTR;CLEC14A;ZNF598;FBXO7;ACO2;BSG;HSPA8;TMPO;ADSL;CTNNB1;HDAC4;HNF1B;HNF1B;IGF1R;JUP;PPP6C;TGFB1;YAF2;YAP1;BMP4;BMPR1A;MTCH2;MTCH2;PPIE;DDIT3;UBE2M;PRPF8;PRPF8;EFTUD2;AAR2;PIH1D1;CHD3;CHD4;RNF4;RNF31;RNF31;TNF;TNF;TNF;TNF;TNF;TNF;TNF;TNF;CDC34;SPDL1;PARK7;RIOK1;PRKCZ;ZUP1;HEXIM1;LARP7;RUNX1;RNF123;PPT1;SNAI1;AGR2;RECQL4;REST;MYC;LAMP1;NEK2;KRT17;VIRMA;METTL3;METTL14;WTAP;SIRPA;PTPN11;MATK;RC3H2;PTPRF;PHB;FAF1;RBX1;BECN1;ARMC12;KCTD15;TGM2;NR2C2;UBQLN2;PPARG;PODXL;HDAC2;LINC01554;ZFYVE21;CTCF;PRDM16;BMH2;BMH1;ATXN3;GJB1;ATP5PD;ATP5F1B;ICAM1;P4HB;FKBP9;APOE;CYB5A;CYB5R3;HIST1H4A;TRIM44;SDF4;HNRNPR;STMN1;SFN;DNAJC8;YBX1;DNAJB4;SLC25A24;AHCYL1;LAMTOR5;ILF2;TAGLN2;HSPA6;DHX9;HNRNPU;SCCPDH;PDIA6;HADHB;CAD;SPTBN1;AAK1;SEPT10;HNRNPA3;DNAJC10;CPS1;TUBA4A;PSMD1;SEPT2;RPSA;MAP4;PDHB;TFG;GSK3B;SEC61A1;RAB7A;NCK1;DNAJC19;ABCF3;EIF4G1;LPP;PAK2;OCIAD1;HNRNPD;HNRNPDL;RAP1GDS1;HSPA4L;PALLD;CDKN2AIP;CEP72;SUB1;FNIP1;HSPA4;HSPA9;CTNNA1;FAF2;HNRNPAB;HNRNPH1;BAG6;HSPA1L;XPO5;HSP90AB1;BAG2;EEF1A1;ACTB;HNRNPA2B1;SEPT7;DNAJC2;CALU;CHCHD3;SSBP1;PRKDC;TMEM67;UQCRB;TG;RPL8;STOML2;TXN;RAB14;SPTAN1;SURF4;VIM;HNRNPF;HNRNPH3;DNAJC9;GHITM;HELLS;CASP7;PRDX3;EIF4G2;ANO3;RCN1;PACSIN3;AHNAK;UBXN1;HNRNPUL2;STIP1;SART1;RPS3;SERPINH1;REXO2;RPS25;HYOU1;PHB2;A2M;PDE3A;KRT8;TXNRD1;TMEM263;TRAFD1;NCOR2;HSPH1;HNRNPA1L2;OSGEP;ZBTB25;TSHR;SEL1L;PPP4R4;SERPINA1;KNSTRN;RMDN3;DNAJC17;PDIA3;TMOD3;PPIB;RAB11A;RPLP1;UBL7;COX5A;RCN2;IQGAP1;CRTC3;STUB1;SRRM2;PAM16;RNF40;DNAJA2;EDC4;IST1;COX4I1;DPH1;EIF4A1;MYH10;RPL23;KRT14;DNAJC7;GFAP;MAPT;KPNB1;PSMC5;ERN1;SEPT9;ACTG1;FASN;LAMA1;SNRPD1;TIMM13;ILF3;PRKCSH;DNAJB1;HNRNPL;RPS16;HNRNPUL1;NUCB1;SNRNP70;NUP62;MAPRE1;CSE1L;ATP5PF;N6AMT1;ATP5PO;EWSR1;MYH9;LGALS1;XRCC6;HNRNPH2;SEPT6;BCAP31;SURF4;RPS25;HYOU1;CEP72;HSPA1L;SSBP1;PPP4R4;SERPINA1;PAM16;MAPT;SEPT9;BAG6;HSPA1L;MAPT;BAG6;HSPA1L;BAG6;BAG6;BAG6;HSPA1L;BAG6;HNRNPH1;SLC25A24;DNAJC8;TUBA4B	Physical Interaction	Antihemophilic Factor (Recombinant);Acetylsalicylic acid
HSPA9	HSPA9;CRP40;CSA;EVPLS;GRP-75;GRP75;HEL-S-124m;HSPA9B;MOT;MOT2;MTHSP75;PBP74;SAAN;SIDBA4	3313	GeneID:3313;HGNC:HGNC:5244;HPRD:02770;MIM:600548;ensembl_gene_id:ENSG00000113013	Homo sapiens	MVD;FGF1;TP53;DNAJC19;GTF2A1;TBPL1;HNRNPA1;GPN1;H2AFX;HAX1;MRPL58;AGO3;HDAC5;SPART;YWHAG;SIRT1;SIRT3;MINOS1;PSMA3;BAP1;RNF146;HDGF;ARRB1;SIRT7;SP1;FBXO25;PRKN;CUL3;CUL4A;CUL4B;CUL5;CUL2;CDK2;CUL1;COPS5;COPS6;DCUN1D1;CAND1;NEDD8;DNAJA3;DNAJA3;INPPL1;CBL;GRB2;SHC1;CRK;CRK;EPS15;AP2M1;AKT1;FBXO6;HSPD1;DNAJA1;HSPE1;CPS1;EIF4A3;MAGOH;SMURF1;TRAF3IP1;HSP90AA1;HSPBP1;FN1;VCAM1;CDH1;TP73;C1QBP;BRAF;IQCB1;NOS2;METTL21A;VCPKMT;UBL4A;ZSWIM7;PAN2;ADRB2;NELFB;CDKN2A;ASS1;ATG3;CAPN1;EIF5;FERMT2;PFAS;TNFAIP8;VCL;MDM2;GRSF1;STAU1;SPRTN;AURKA;AURKB;CDC20;CDKN1A;CEP250;CEP57;HAUS2;CEP76;NEDD1;TUBG1;TUBGCP2;TUBGCP4;GPX7;FUS;ENO1;SHMT2;MOV10;NXF1;C17orf49;CUL7;OBSL1;CCDC8;EED;SUMO2;DENND2D;RPS6KB2;UNK;CPNE3;DNAJA2;DNAJB12;DNAJB14;DNAJC17;EEF1A1;G6PD;HNRNPL;HSPB1;HYI;RAB7A;SDHA;SOD1;LRRK2;NTRK1;KRAS;TIMM44;PPP3CB;SDHAF2;ID2;GAN;SKI;ALKBH3;MCM2;MCM5;PRDM1;NF2;Ksr1;UBXN2A;OTUB1;EGFR;ESRRB;NANOG;POU5F1;POU5F1;POU5F1;POU5F1;POU5F1;POU5F1;POU5F1;U2AF2;NFATC1;NFATC2;NEDD8;SMURF1;CDC73;AIFM1;GRPEL1;NHSL2;PRCC;KIAA1191;LRRC36;FAM167A;FAM167A;TTC25;C2orf68;CYLD;G3BP1;TNK2;ESR1;BRCA1;MTF1;IMA1;TAE1;HDAC6;CFTR;ZNF598;FBXO7;HSPA8;CTNNB1;MED9;TGFB1;ACO2;CDK9;CRYL1;UBE2M;RAD18;PRPF8;PRPF8;EFTUD2;AAR2;PIH1D1;CHD3;CHD4;RNF4;RNF31;RNF31;MINDY4;RIOK1;STUB1;PRKCZ;FGF11;FGF11;HEXIM1;MEPCE;LARP7;RUNX1;SNAI1;RECQL4;GPC1;REST;KCNJ2;ZFP36L2;MYC;MRM1;MRM1;NEK2;METTL3;METTL14;WTAP;VIRMA;SIRPA;PTPN11;MATK;SUPT6H;RC3H1;RC3H2;PTPRF;ATG16L1;ATG16L1;PHB;FAF1;PRKD2;RBX1;CCND1;TET2;KCTD15;TMEM41B;TGM2;NR2C2;UBQLN2;PPARG;FUNDC1;LINC01554;FOXRED1;BICD1;ATXN3;VRK1;ATP5F1A;ICAM1;HSPA5;CYB5R3;PRDX3;COX5A;ATP5F1B;HIST1H4A;STMN1;DNAJC8;DNAJB4;HNRNPU;SCCPDH;HADHA;HADHB;XPO1;RAB1A;RARB;ABHD14A;TKT;CCDC58;CNBP;DNAJC13;HNRNPD;RAP1GDS1;EIF4E;HSPA4L;PDCD6;HSPA4;RACK1;ACTB;BZW2;YKT6;LSM8;STOML2;RXRA;DNLZ;DNAJC1;DNAJC9;ECHS1;LDHA;CKAP5;AHNAK;CFL1;AIP;NDUFS8;GAPDH;PHB2;GPRC5A;LDHB;HSPH1;SLAIN1;DNAJC3;OSGEP;HSPA2;DUT;DNAJA4;GINS3;RARA;GAA;ALYREF;PTBP1;DNAJB1;ITPA;MAVS;POFUT1;EIF6;APP;ATP5PO;HSD17B10;BCAP31;DNAJC8	Physical Interaction;Genetic Interaction	
